Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Atanasov, Vladimir; Barreto, Natalia; Whittle, Jeff; Meurer, John; Weston, Benjamin W; Luo, Qian; Franchi, Lorenzo; Yuan, Andy Ye; Zhang, Ruohao; Black, Bernard; ",Understanding COVID-19 Vaccine Effectiveness against Death Using a Novel Measure: COVID Excess Mortality Percentage,Vaccines,11,2,379,2023,MDPI
"Yuan, Andy; Atanasov, Vladimir; Parra, Paula Natalia Barreto; Whittle, Jeff; Meurer, John; Weston, Benjamin; Luo, Qian Eric; Franchi, Lorenzo; Zhang, Ruohao; Black, Bernard; ",Understanding COVID-19 Vaccine Effectiveness Against Death Using a Novel Measure: COVID Excess Mortality Percentage,Research Square,,,,2022,American Journal Experts
"Atanasov, Vladimir A; Barreto Parra, Paula Natalia; Franchi, Lorenzo; Whittle, Jeff; Meurer, John; Weston, Benjamin; Luo, Qian Eric; Yuan, Andy; Zhang, Ruohao; Black, Bernard S; ",Online Appendix for Understanding COVID-19 Vaccine Effectiveness Against Death Using a Novel Measure: COVID Excess Mortality Percentage,Vaccines,11,2,379,2023,
"Atanasov, Vladimir A; Barreto Parra, Paula Natalia; Franchi, Lorenzo; Whittle, Jeff; Meurer, John; Luo, Eric; Yuan, Andy; Zhang, Ruohao; Black, Bernard S; ",Online Appendix for Understanding COVID-19 Vaccine Effectiveness Against Death Using a Novel Measure: COVID Excess Mortality Percentage,Northwestern Law & Econ Research Paper,,,22-19,2022,
"Atanasov, VA; Parra, PNB; Franchi, L; Whittle, J; Meurer, J; Luo, E; Yuan, A; Zhang, R; Black, BS; ",Appendix for Understanding COVID-19 Vaccine Effectiveness Against Death Using a Novel Measure: COVID Excess Mortality Percentage,,,,,2022,
"Shang, Weijing; Wang, Yaping; Yuan, Jie; Guo, Zirui; Liu, Jue; Liu, Min; ",Global excess mortality during COVID-19 pandemic: a systematic review and meta-analysis,Vaccines,10,10,1702,2022,MDPI
"Wang, Haidong; Paulson, Katherine R; Pease, Spencer A; Watson, Stefanie; Comfort, Haley; Zheng, Peng; Aravkin, Aleksandr Y; Bisignano, Catherine; Barber, Ryan M; Alam, Tahiya; ","Estimating excess mortality due to the COVID-19 pandemic: a systematic analysis of COVID-19-related mortality, 2020–21",The Lancet,399,10334,1513-1536,2022,Elsevier
"Krieger, Ekaterina A; Postoev, Vitaly A; Grjibovski, Andrej М; ",Statistical approaches for assessing excess mortality during the COVID-19 pandemic: a scoping review,Ekologiya cheloveka (Human Ecology),,,,2023,
"Karlinsky, Ariel; Kobak, Dmitry; ",Tracking excess mortality across countries during the COVID-19 pandemic with the World Mortality Dataset,Elife,10,,e69336,2021,"eLife Sciences Publications, Ltd"
"Nepomuceno, Marília R; Klimkin, Ilya; Jdanov, Dmitri A; Alustiza‐Galarza, Ainhoa; Shkolnikov, Vladimir M; ",Sensitivity analysis of excess mortality due to the COVID‐19 pandemic,Population and Development Review,48,2,279-302,2022,Wiley Online Library
"Gmanyami, Jonathan Mawutor; Jarynowski, Andrzej; Belik, Vitaly; Lambert, Oscar; Amuasi, John; Quentin, Wilm; ",Excess mortality during the COVID-19 pandemic in low-income and lower middle-income countries: protocol for a systematic review and meta-analysis,BMJ open,14,1,e079862,2024,British Medical Journal Publishing Group
"Helleringer, Stephane; Queiroz, Bernardo Lanza; ",Commentary: Measuring excess mortality due to the COVID-19 pandemic: progress and persistent challenges,International journal of epidemiology,51,1,85-87,2022,Oxford University Press
